#{"t_start": 1711460808.3404334, "env_id": "None"}
r,l,t
519.5,185,713.202318
432.5,315,713.577972
439.5,305,713.942993
523.5,193,714.178667
509.5,221,716.01305
474.0,262,716.32362
438.0,310,716.706208
491.0,242,716.99554
418.5,329,717.384067
484.5,247,717.687552
464.5,277,718.010514
390.5,401,720.023657
487.5,257,720.339744
450.5,297,720.67257
483.0,250,720.976611
535.5,181,721.215315
514.0,222,721.454471
501.5,223,721.704023
473.5,257,721.996029
436.0,320,722.339167
514.0,204,722.591826
463.5,273,722.9018
404.0,352,723.331579
529.0,194,723.567451
404.5,355,725.539805
468.0,270,725.846781
349.0,430,726.345874
374.5,391,726.784095
435.5,311,727.127853
411.5,337,727.543641
522.5,187,729.323855
475.0,258,729.639946
494.0,236,729.91621
426.0,334,730.305492
456.0,288,730.659961
399.0,352,731.080505
502.0,222,731.603231
457.0,290,731.935858
508.5,217,732.162286
537.5,169,732.351832
490.0,240,732.603031
534.0,176,734.39826
420.5,317,734.814198
495.0,230,735.101511
466.5,267,735.413178
450.0,290,735.780133
441.5,297,736.138611
329.0,458,736.692296
549.5,161,736.877295
376.0,394,738.873724
516.0,200,739.140042
479.5,249,739.422781
511.0,212,739.698083
503.5,217,739.955166
413.5,341,740.354424
416.5,349,740.779871
459.5,283,742.650316
520.5,195,742.883385
548.5,153,743.066314
571.0,130,743.216085
484.5,249,743.5986
400.5,359,743.998044
472.5,265,744.290947
446.0,304,744.630164
529.5,189,744.829954
483.5,259,745.162666
459.0,278,745.498826
471.5,261,745.811506
473.5,255,746.137697
465.0,274,747.981352
511.0,206,748.267251
477.0,254,748.599921
396.5,363,749.055751
478.5,255,749.355104
505.5,213,749.621416
404.0,348,750.024482
482.0,246,750.307961
515.0,208,752.10565
409.5,347,752.549547
505.0,226,752.825943
393.5,367,753.241757
497.0,232,753.497906
555.0,150,753.687934
532.5,181,753.897097
447.0,300,754.299942
488.0,244,754.571767
-193.5,501,755.145055
464.0,284,755.505425
529.5,187,755.777218
539.5,171,755.986459
531.0,184,756.209787
459.5,281,758.097197
438.0,314,758.465833
549.5,155,758.648265
447.5,295,759.004888
509.5,215,759.254321
451.0,288,759.60377
383.5,371,760.063044
520.5,203,761.843266
469.5,253,762.159416
529.0,190,762.382247
505.0,226,762.665087
539.0,174,762.867197
502.5,235,763.130873
390.0,374,763.563469
540.5,169,763.750319
488.5,249,764.049576
502.5,227,765.876037
471.5,269,766.225474
511.5,213,766.633982
379.5,389,767.05011
440.5,313,767.382991
491.0,230,767.644564
502.5,221,767.889186
520.0,200,768.143803
493.0,234,768.431613
316.0,484,768.989821
425.0,332,769.43983
532.5,187,769.769049
450.5,293,771.692585
384.5,379,772.164835
493.0,236,772.451823
378.0,390,772.900376
535.5,173,773.115768
326.5,461,773.645688
484.0,252,775.44248
435.0,308,775.840827
519.5,197,776.078173
